customer_id,join_date,region,preferred_store_id,acquisition_channel
C00001,2025-01-09,Chattogram,ST08,Walk-in
C00002,2018-05-14,Dhaka,ST07,Referral
C00003,2023-11-21,Rajshahi,ST12,Walk-in
C00004,2021-12-01,Dhaka,ST19,Referral
C00005,2021-09-04,Sylhet,ST02,Walk-in
C00006,2022-04-04,Chattogram,ST08,Walk-in
C00007,2019-09-22,Khulna,ST01,Referral
C00008,2022-10-13,Dhaka,ST11,Online
C00009,2023-12-16,Dhaka,ST16,Walk-in
C00010,2020-10-18,Dhaka,ST01,Referral
C00011,2019-01-18,Chattogram,ST11,Walk-in
C00012,2021-02-03,Dhaka,ST09,Walk-in
C00013,2019-08-03,Rajshahi,ST16,Walk-in
C00014,2020-12-27,Dhaka,ST05,Online
C00015,2023-01-05,Dhaka,ST04,Online
C00016,2018-11-28,Chattogram,ST02,Referral
C00017,2023-12-23,,ST09,Online
C00018,2019-10-18,Khulna,ST10,Walk-in
C00019,2025-02-25,Rajshahi,ST19,Walk-in
C00020,2023-11-09,Sylhet,ST10,Walk-in
C00021,2020-03-06,Rajshahi,ST04,Online
C00022,2022-07-03,Rajshahi,ST14,Walk-in
C00023,2018-11-20,Dhaka,ST02,Online
C00024,2018-10-19,Sylhet,ST07,Online
C00025,2025-08-23,Rajshahi,ST14,Referral
C00026,2024-06-01,Dhaka,ST06,Walk-in
C00027,2019-03-27,Sylhet,ST12,Walk-in
C00028,2020-04-05,Chattogram,ST10,Social Media
C00029,2019-08-01,Chattogram,ST20,Online
C00030,2021-02-27,Dhaka,ST06,Walk-in
C00031,2020-04-30,Sylhet,ST19,Online
C00032,2020-08-15,Khulna,ST13,Social Media
C00033,2022-03-26,Dhaka,ST15,Walk-in
C00034,2019-07-07,Chattogram,ST04,Social Media
C00035,2025-01-21,Dhaka,ST01,Walk-in
C00036,2023-10-26,Dhaka,ST15,Social Media
C00037,2024-01-30,Barishal,ST10,Walk-in
C00038,2019-05-10,Chattogram,ST07,Walk-in
C00039,2023-08-30,,ST18,Walk-in
C00040,2024-09-07,Dhaka,ST07,Referral
C00041,2019-05-27,Barishal,ST09,Social Media
C00042,2024-01-03,Dhaka,ST15,Walk-in
C00043,2020-11-10,,ST20,Walk-in
C00044,2024-04-18,Dhaka,ST18,Walk-in
C00045,2021-10-28,Dhaka,ST14,Walk-in
C00046,2024-05-31,Rajshahi,ST03,Referral
C00047,2019-03-07,Dhaka,ST03,Walk-in
C00048,2021-02-10,Rajshahi,ST14,Social Media
C00049,2020-03-09,Dhaka,ST11,Social Media
C00050,2019-12-27,Rajshahi,ST03,Walk-in
C00051,2020-06-19,Rajshahi,ST14,Online
C00052,2021-01-21,Rajshahi,ST19,Social Media
C00053,2019-01-07,Dhaka,ST02,Referral
C00054,2023-08-27,Rajshahi,ST17,Online
C00055,2022-05-26,Barishal,ST07,Walk-in
C00056,2024-08-18,Dhaka,ST08,Walk-in
C00057,2023-08-21,Dhaka,ST15,Referral
C00058,2019-03-12,Khulna,ST05,Walk-in
C00059,2018-07-24,,ST04,Online
C00060,2021-05-19,Sylhet,ST20,Online
